,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founders,Investor
175,Bombay Shaving,Ecommerce,undisclosed,6300000,Undisclosed,Provides a range of male grooming products,1970,Shantanu Deshpande,Sixth Sense Ventures
176,Ruangguru,Edtech,Series C,150000000,Mumbai,A learning platform that provides topic-based journey animated videos quizzes infographic and mock tests to students,1970,Adamas Belva Syah Devara Iman Usman.,General Atlantic
177,Eduisfun,Edtech,Fresh funding,28000000,Mumbai,It aims to make learning fun via games.,1970,Jatin Solanki,Deepak Parekh Amitabh Bachchan Piyush Pandey
178,HomeLane,Interior design,Series D,30000000,Chennai,Provides interior designing solutions,1970,Srikanth Iyer Rama Harinath,Evolvence India Fund (EIF) Pidilite Group FJ Labs
179,Nu Genes,AgriTech,undisclosed,6000000,Telangana,It is a seed company engaged in production processing and marketing of seeds,1970,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA)
182,Kratikal,Technology,Pre Series A,1000000,Noida,It is a product-based cybersecurity solutions provider,1970,Pavan Kushwaha Paratosh Bansal Dip Jung Thapa,Gilda VC Art Venture Rajeev Chitrabhanu.
183,Quantiphi,AI & Tech,Series A,20000000,Undisclosed,It is an AI and big data services company providing business solutions.,1970,Renuka Ramnath,Multiples Alternate Asset Management
184,Lenskart,E-commerce,Series G,275000000,Delhi,It is a eyewear company,1970,Peyush Bansal Amit Chaudhary Sumeet Kapahi,SoftBank
186,Appnomic,SaaS,undisclosed,22000000,Bangalore,It is a self-healing enterprise the IT operations software detects predicts and prevents problems before they happen,1970,D Padmanabhan,Avataar Ventures
187,Kaleidofin,Fintech,Series A,5000000,Chennai,Platform that provides complete financial solutions for excluded individuals and households,1970,Puneet Gupta Sucharita Mukherjee,Oikocredit
188,JobSquare,HR tech,undisclosed,140500,Ahmedabad,Technology-based platform that is connecting suitable applicants to the right recruiters,1970,Ishit Jethwa,Titan Capital
190,LivFin,Fintech,undisclosed,5000000,Delhi,Grants small business loans supply chain finance and working capital loans to small and medium enterprises,1970,Rakesh Malhotra,German development finance institution DEG
191,Byju's,Edtech,undisclosed,540000000,Undisclosed,Provides online learning classes,1970,Byju Raveendran,South Africa’s Naspers Ventures the CPP Investment Board
192,Zest Money,Fintech,Series B,15000000,Bangalore,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,1970,Chapman Priya Sharma Ashish Anantharaman,Goldman Sachs.
193,Witblox,Edtech,undisclosed,182700,Undisclosed,Offers a range of robotics learning tools,1970,Amit Modi,Mumbai Angels Network
195,SalaryFits,Fintech,undisclosed,5000000,Undisclosed,A platform that promotes financial well-being of employees at workplace,1970,Renato Araujo,Brazilian VC Fund Confrapar
196,Pristyn Care,Healthcare,Series B,12000000,Undisclosed,Delivers advanced medical care & clinical excellence aided by next-level technology,1970,Harsimarbir Singh Dr Vaibhav Kapoor Dr Garima Sawhney,Sequoia India Hummingbird Ventures Greenoaks Capital AngelList.
197,Springboard,Edtech,Post series A,11000000,Undisclosed,Offers online courses and extensive mentor-based learning,1970,Gautam Tambay Parul Gupta,Reach Capital
199,Medlife,Pharmaceutical,undisclosed,15500000,Bangalore,It solves inadequacies in the healthcare delivery system through technology,1970,Tushar Kumar Prashant Singh,Wilson Global Opportunities Fund
200,Seekify,SaaS,Seed funding,1500000,Delhi,Customer Experience (CX) Automation platform,1970,Arihant Jain Ajeet Kushwaha,Sequoia Capita
201,Toffee Insurance,Insurance technology,Series A,5500000,Haryana,Provides variety of insurance plans and policies,1970,Nishant Jain Rohan Kumar,IVM Intersurer
202,Fireflies .ai,AI,undisclosed,5000000,Undisclosed,Developer of an artificial intelligence-powered assistant for businesses,1970,Sam Udotong,Canaan Partners
203,HungerBox,Foodtech,Series C,12000000,Bangalore,Offers B2B tech platform to corporates aimed at improving the operations of their cafeterias,1970,Sandipan Mitra Uttam Kumar,Paytm Asian VC fund NPTK Sabre Partners Neoplux.
204,Bijak,AgriTech,Seed fund,2500000,Undisclosed,B2B platform for agricultural commodities.,1970,Nukul Upadhye Mahesh Jakhotia Jitender Bedwal Daya Rai Nikhil Tripathi,Omnivore and Omidyar Network India Sequoia Capital
205,Licious,Food,Series E,30000000,Bangalore,Online meat shop,1970,Vivek Gupta Abhay Hanjura,Vertex Growth Fund
206,truMe,IoT,undisclosed,140000,Undisclosed,A global platform for Identity and Access Management,1970,Babu Dayal Pramod Uniyal Lalit Mehta,Rajan Kaistha
208,Asteria Aerospace,Robotics & AI,undisclosed,230000000,Bangalore,Develops drones that are used by the military paramilitary police forces and in various industries.,1970,Neel Mehta Nihar Vartak,Reliance Industries
209,Rivigo,Logistics,Series F,20000000,Undisclosed,It offers delivery services across India to retail e-commerce pharmaceutical automobile and FMCG companies,1970,Deepak Garg Gazal Kalra,SAIF Partners India VI Ltd Spring Canter Investment Ltd
